book_id,similar_books,publication_year,title,writers,illustrators,contributors,editors,translators
540518,[],1995.0,Don Juan de Marco,"['149387', '149387']",[],[],[],[]
23716,[],1998.0,Rumic Theater: One Or Double,['12948'],[],[],[],[]
23717,[],1997.0,"Rumic World Trilogy, Volume 3 (Rumic World Trilogy, #3)",['12948'],[],[],[],[]
23714,"['1656998', '2087179', '10741359', '835491', '1410099', '6303658', '16089147', '8937419', '6237247', '13259310', '1465606', '632059', '480864', '3378547']",1996.0,"One Pound Gospel, Volume 1",['12948'],[],[],[],[]
23715,[],1996.0,"Rumic Theater, Vol. 1",['12948'],[],[],[],[]
23713,[],1998.0,"One Pound Gospel, Volume 3. Knuckle Sandwich.",['12948'],[],[],[],[]
23711,"['43756', '1144824', '1637763', '9659886', '4589730', '7326758', '1790965']",2003.0,"Maison Ikkoku, Volume 2 (Maison Ikkoku, #2)",['12948'],[],[],[],[]
413736,"['487295', '971435', '1188664', '146487', '426777', '237213', '3156061', '824876', '7932845', '296764', '6556839', '9439232', '156192', '603712', '313369', '461749', '265194', '859269']",2003.0,The Southpaw,['146303'],[],[],[],[]
1242000,"['95445', '1173634', '19248', '47815', '669035', '652957', '410584', '788260', '18210311', '344193', '1175249', '570736', '1126801', '885349']",1993.0,"Into Exile (Kevin and Sadie, #3)",['69826'],[],[],[],[]
202522,"['109505', '1779196', '578941', '2854861', '42025', '1447516', '1406958', '619771', '136268', '2068801', '7912712', '1517028', '116741', '123061', '110946', '508537', '12360291']",,My Summer With George,['14160'],[],[],[],[]
345752,[],1995.0,Le mendiant et le professeur (Le Siècle des Platter 1499-1628 #1),['25486'],[],[],[],[]
173190,[],1988.0,Future Of Immortalty,['67376'],[],[],[],[]
138496,"['227510', '5073402', '684717', '875959', '431640', '35827', '641170', '596673', '864915', '228912', '218', '272536']",1997.0,"Make Out With Murder (Chip Harrison, #3)",['17613'],[],[],[],[]
269677,[],1993.0,what it means to be avant-garde,['86821'],[],[],[],[]
31764,[],2001.0,Nietzsche's Thus Spake Zarathustra: A Beginner's Guide,['5552'],[],[],[],[]
1151567,"['3392001', '3788', '706154', '3791', '842452', '13631900', '31138', '22095147', '43285', '183108', '3191446', '1540381', '515962']",1989.0,"Drina's Dancing Year (Drina, #2)",['4114801'],[],[],[],[]
31760,[],1994.0,Lost at Sea,"['17818', '17817']",[],[],[],[]
31761,"['1838912', '2014000', '1547049', '1532027', '238251', '19507', '6622180', '80452', '2295821', '6795601', '684924', '224832', '6918862', '1373530', '655002', '638925', '145444', '7388232']",2006.0,El Dia Que Nietzsche Lloró,['909675'],[],[],[],[]
31763,"['154072', '83271', '24968', '346074', '445747', '80311', '85954', '478234', '159994', '794501', '85326', '90078', '846122', '94903', '762159']",1998.0,Zur Genealogie der Moral,['1938'],[],[],[],[]
981950,[],,Badger On The Barge And Other Stories,['304718'],[],[],[],[]
790072,[],1989.0,Palestine and the Arabs' Fight for Liberation,"['22793', '414552']",[],[],[],[]
856475,"['50541', '950757', '124182', '11906', '1497918', '763554', '6271981', '14913', '253339', '849925', '523999', '6185782', '8642815', '148409', '85848', '26938']",,The Black Book,['8166'],[],[],[],[]
824573,[],2002.0,There's a Cow in the Cabbage Patch,['19984'],[],[],[],[]
435505,[],,The GRE Test for Dummies,['245405'],[],[],[],[]
225768,"['11264', '163580', '2466401', '1062226', '927318', '4331412', '6309209', '674849', '262980', '1158599', '165881', '24848348', '13630241', '12124169', '645191', '1093228', '1685651']",2001.0,Hard Fall,['6244'],[],[],[],[]
470085,[],2006.0,User ID: A Novel of Identity Theft,['64163'],[],[],[],[]
396826,"['7717332', '555215', '6598809', '407006', '400077', '329793', '407009', '320835', '2802543', '823882', '3463007', '7922146', '799475', '217306', '4166120', '277087', '79460']",2007.0,"Transparent: Love, Family, and Living the T with Transgender Teenagers",['225268'],[],[],[],[]
396825,"['633445', '8579004', '7981705', '10870447', '739761', '7709933', '18052002', '403653', '400784', '759844', '293715', '337630', '284022', '298112', '1067942', '77516', '40107', '243309']",1998.0,The Cripple of Inishmaan - Acting Edition,['77295'],[],[],[],[]
163331,[],1996.0,"The Empire's Old Clothes: What the Lone Ranger, Babar, and Other Innocent Heroes Do to Our Minds",['39349'],[],[],[],[]
2235761,[],,Nature and Grace in Flannery O'Connor's Fiction (Studies in Art and Religious Interpretation ; V. 2),['217794'],[],[],[],[]
1625710,[],1995.0,Mediation in Contemporary Native American Fiction,['190923'],[],[],[],[]
560466,[],1994.0,The Deaths of Sybil Bolton: An American History,['7617779'],[],[],[],[]
821432,"['25300956', '104091', '44687', '64216', '62012', '201342', '15568', '11350430', '140225', '222576', '13931', '119324', '40158', '177250', '7345', '10090', '239103', '264007']",2004.0,The Hobbit,['656983'],[],[],[],[]
248166,[],,North,['145046'],[],[],[],[]
248165,[],1994.0,North: The Tale of a Boy Who Becomes a Free Agent and Travels the World in Search of the Perfect Parents,['145046'],['6886677'],[],[],[]
248169,"['3820177', '18012466', '910040', '12960280', '12887384', '5530988', '8581550', '12467482', '13797', '786224', '13528292', '753118', '16057548', '390733', '899244', '641341', '18118638', '1328751']",2007.0,Our Tree Named Steve,['145046'],['84062'],[],[],[]
140461,"['693411', '1143208', '89179', '1846109', '393129', '220451', '262157', '827326', '1032877', '1203763', '1622611', '239591', '194638', '201737', '286357', '795095', '977374', '975098']",1995.0,Crossing the River,['81158'],[],[],[],[]
140468,"['68588', '939190', '1234701', '953472', '236202', '1440195', '1198133', '743672', '1531209', '1206327', '1038590', '1123715', '582105', '757764', '2373578', '939920', '383107', '1802083']",2003.0,L'Homme dans le labyrinthe,['4338'],[],[],[],[]
1134084,[],2002.0,"Social Construction of Foreign Policy: Identities and Foreign Policies, Moscow, 1955 and 1999",['531982'],[],[],[],[]
804069,"['821987', '279236', '296402', '2142454', '924354', '687920', '226544', '215785', '1060066', '935364', '281818', '420162', '512991', '347445', '6598119']",2006.0,A Brief History of the Future: The Origins of the Internet,['178567'],[],[],[],[]
596033,"['126271', '13624', '1064084', '268187', '1171368', '140996', '377661', '771620', '6386834', '1110887', '1765205', '654972', '1280131', '571197']",1996.0,The Well at the World's End,['8127'],[],[],[],[]
596035,[],2000.0,Countdown To Apocalypse: A Scientific Exploration Of The End Of The World,['214294'],[],[],[],[]
596034,[],2004.0,Waiting for the End of the World,"['324233', '324233']",[],[],[],[]
534207,"['410728', '9872884', '6323325', '296587', '163041', '295329', '2989627', '16237193', '702626', '7422183', '244356', '86393', '1682763', '881368', '16142676', '1022297']",2007.0,The Way of Fire,['31855'],[],[],[],[]
1410492,"['70463', '420022', '875212', '941480', '4524337', '439087', '604656', '1332303', '1599880', '10803044', '1067782', '904646', '420680', '1592619', '985082', '880409', '6539946', '532724']",1999.0,An Isolated Incident,['48894'],[],[],[],[]
380783,"['6415686', '6573835', '2672476', '67857', '4957767', '58549', '58554', '58551', '104973', '2297296', '62435', '67855', '8495664', '12726939', '11886571', '8622685', '7888820', '10982560']",,Kurt Cobain: El ángel errático,"['50031', '50029']",['50030'],[],[],[]
324700,[],,The Bradley Method: Student Workbook,"['642609', '1108608', '3925665', '3970891']",[],[],[],[]
111009,"['1002484', '123658', '215453', '211724', '433322', '673388', '31923', '302614', '249715', '619041', '111016']",2002.0,"The Golden Dawn: The Original Account of the Teachings, Rites, and Ceremonies of the Hermetic Order","['50973', '3895083', '3263357']",[],[],[],[]
111003,"['458793', '122004', '233973', '286687', '3801168', '2144025', '256277', '29583', '6376377', '2776246', '714165', '493880', '1349816', '160338', '723959', '8688712', '7802253', '917662']",,Librarian's Guide to Online Searching,['64207'],[],[],[],[]
111002,"['834688', '644902', '1372657', '5344850', '111000', '1624581', '2140425', '460747', '1167695', '565140', '1089266', '7932545', '271026', '6559560', '15618', '1853', '1335387', '3308834']",,"The Librarian from the Black Lagoon (Black Lagoon, #5)",['10034'],['91779'],[],[],[]
111001,"['295474', '1033005', '529006', '6705807', '298022', '1203738', '873279', '1688606', '118079', '596697', '885110', '534607', '253043', '2720451', '2079830', '162954', '231612', '417181']",1994.0,The Librarian Who Measured the Earth,['4735'],['472036'],[],[],[]
111000,"['9697245', '1372657', '5344850', '565140', '2262162', '3002254', '7931925', '151398', '15814402', '413256', '15618', '6520754', '3238642', '532854', '8139824', '203286', '2380834', '1582449']",2005.0,The Librarian of Basra: A True Story from Iraq,['64206'],[],[],[],[]
111007,"['413258', '6898492', '256277', '781379', '3801168', '286687', '451050', '8428898', '1258548', '537362', '1552040', '493880', '6494593', '7802253', '9946112', '23316550', '470772']",,Black Belt Librarians: Every Librarian's Real World Guide to a Safer Workplace,['1676616'],[],[],[],[]
111006,"['781379', '1000846', '1552040', '451050', '1527318', '111007', '10529', '917662', '900314', '843002', '6699035', '339147', '407226', '23316550', '205252', '482964', '6405985', '1710729']",2004.0,The Librarian,['64211'],[],[],[],[]
111005,"['2439084', '29583', '233973', '1349816', '3208732', '1258548', '1499042', '3801168', '199725', '458793', '917662', '7833241', '286687', '111003', '3340925', '365778', '451050', '322377']",,Basic Research Methods for Librarians (Library and Information Science Text Series),"['64210', '64209']",[],[],[],[]
111004,"['20708742', '7986382', '11315249', '5344850', '1372657', '2680024', '189715', '413256', '6323527', '7745377', '15790874', '834688', '9697245', '96682', '7028661', '3085142', '858586', '267657']",,Our Librarian Won't Tell Us Anything!: A Mrs. Skorupski Story [With Book],['64208'],['2500261'],[],[],[]
361950,"['291862', '816229', '126033', '645641', '24795940', '781737', '318588', '1103465', '219166', '446292', '332664', '266775', '961757']",1997.0,Penn & Teller's How to Play in Traffic,"['134143', '34532']",[],[],[],[]
395950,"['19821', '159816', '153220', '40869', '208', '1022658', '618180', '177250', '96281', '57687', '671560', '463024', '185289', '280705']",1992.0,The Summer Tree (The Fionavar Tapestry #1),['60177'],[],[],[],[]
395957,"['1527318', '294805', '508572', '432200', '900314', '6383980', '111006', '905170', '10529', '472585', '609284', '1208211', '1000846', '4646655', '392550', '6483128', '382866', '120136']",2006.0,The Case of the Missing Books (Mobile Library Mystery #1),['80213'],[],[],[],[]
361956,"['131084', '1292742', '351887', '1568252', '2502812', '1680983', '256146', '974153', '1816399', '1504955', '793770', '226005', '265342', '128340', '1362414', '123369', '2618283', '374684']",2004.0,Sock,['134143'],[],[],[],[]
395959,"['6116753', '6085704', '9046694', '19161894', '11806716', '1087939', '959613', '218633', '128752', '1139452', '1212830', '490270', '27966490']",2005.0,Beyond Black,['58851'],[],[],[],[]
1027862,"['44538', '31186', '118186', '1585299', '212615', '12883644', '619962', '118371', '67719', '659002', '180206', '925775', '153185', '116297', '11672159', '1022376', '4422777', '451044']",,Fingersmith,['25334'],[],[],[],[]
150734,"['2333956', '284369', '201357', '17274', '208278', '153954', '248544', '141735', '14568670', '17471298', '12637', '169007', '880735', '125076']",2013.0,"The Essential Turing: Seminal Writings in Computing, Logic, Philosophy, Artificial Intelligence, and Artificial Life Plus the Secrets of Eni",['87041'],[],[],['1093460'],[]
150730,"['190408', '990999', '2511700', '564140', '9704', '61637', '115719', '151233', '1120064', '55415', '960773', '2130462', '3160761', '255878', '15810946', '6950724']",2000.0,Germany: Unraveling an Enigma,['87038'],[],[],[],[]
560863,"['928567', '361873', '784357', '684443', '1112110', '23356234', '379036', '188192', '53548', '378207', '199514', '18079829', '560897', '543394', '56311']",2006.0,"Ayurveda: Descubrir la propia constitución, vivir según ella, y prevenir o curar las enfermedades","['127464', '5747740']",[],[],[],['2747467']
560868,[],2004.0,The Handbook of Ayurveda,['307584'],[],[],[],[]
1119479,[],1998.0,Power in Praising God,['2876959'],[],[],[],[]
307631,"['4012409', '4964203', '14475383', '7744091', '6939964', '100054', '17591933', '14475490', '14475342', '2834899', '15707087', '405635', '916783', '166430', '8253759', '6622539', '3128795', '14475352']",1993.0,"Big Ideas: Explanations, True Stories, Love, Nutrition, Advice, and More",['11646'],[],[],[],[]
26562,"['13235741', '180121', '140001', '62554', '503660', '9502368', '808046', '2218624', '911955', '7841664', '851083', '425803', '74628', '257702', '418643', '18158022']",,Getting Things Done,['1071'],[],[],[],[]
609317,[],2006.0,Diaries of an Internet Lover: What Really Happens When Naughty Girls Date,['330135'],[],[],[],[]
264685,"['6784635', '1496267', '109938', '443160', '7904193', '9320231', '576154', '4455573', '158610', '6741362', '757972', '733917', '1267580', '158925', '68502']",1981.0,Geschichte von der 1002. Nacht: Roman,['30681'],[],[],[],[]
78352,[],1987.0,I Ching: The Oracle,"['44475', '44474', '5158478']",[],[],[],[]
1388854,[],2008.0,100 Poems to Lift Your Spirits,[],[],[],['87097'],[]
432995,[],1998.0,Major Washington,['243908'],[],[],[],[]
432994,[],2000.0,The Civil War and Reconstruction,"['217376', '7922', '4006566', '104088']",[],[],[],[]
412347,"['290508', '412383', '557147', '760119', '1910457', '1854554']",1997.0,"Cover Girls (Sweet Valley High, #129)","['2423', '169001']",[],[],[],[]
162826,[],1985.0,The Romance of Tristan and Isolt,[],[],[],[],['94463']
440674,[],2001.0,Anarcho-Modernism: Toward a New Critical Theory in Honour of Jerry Zaslove,['13475610'],[],"['252733', '76131', '69451', '855243', '405214', '213575']",['226618'],[]
327703,[],,"The Maltese Kitten (Sam the Cat Mystery, #3)",['6471748'],[],[],[],[]
145059,"['31839', '269578', '31894', '168222', '31866', '1042347', '51909', '136041', '2070', '1102226', '23257', '31831', '29383', '340878', '13689443', '13447543']",1996.0,An Introduction to Philosophical Analysis,['83885'],[],[],[],[]
145057,[],2002.0,Approximation Algorithms,['83883'],[],[],[],[]
678362,"['3153081', '8350864', '7343071', '17903012', '6052249', '3477145', '17654679', '6535079', '317377', '3587238', '394834', '580933', '17307162', '6632182', '137763', '12023204', '634559']",1999.0,The Mist in the Mirror,['18874'],[],[],[],[]
363149,[],1996.0,The Crow: City of Angels,['27798'],[],[],[],[]
77490,"['77177', '102168', '358893', '76910', '619980', '1158664']",1997.0,"Hide and Seek (Inspector Rebus, #2)",['33031'],[],[],[],[]
204015,"['315436', '1262126', '603677', '22620', '83284', '9965509', '251389', '1212906', '266014', '167810', '1299025', '233236', '1339837', '744335', '15701', '315442', '431964', '604316']",2000.0,Introducing Postmodernism,"['32979', '32978', '89341', '13333']",[],[],[],[]
581163,"['119816', '119812', '3506974', '258568', '5296227', '891586', '15769642', '100684', '2220338', '11693022', '827904', '3125137', '12911577', '58068', '12941222', '1078950', '2302536']",1996.0,"Journeys to the Heartland (The Wolves of Time, #1)",['35007'],[],[],[],[]
644824,[],1993.0,Waking the Slumbering Spirit,"['93839', '81603']",[],[],[],[]
540283,"['415153', '391789', '432515', '1971658']",2002.0,Goldfinger (James Bond #7),['2565'],[],[],[],[]
140857,[],,"Wrong Address, Right Place",['58995'],[],[],[],[]
249111,"['105761', '178242', '120997', '120991', '120993', '120994', '560855', '448061', '1804540', '275397', '584019', '620798', '925395', '837746']",2004.0,Sextrology: The Astrology of Sex and the Sexes,"['260042', '260041']",[],[],[],[]
452815,"['985734', '2277331', '2859449', '1210916', '652677', '4212740', '187939', '241973', '519248', '1920145', '6399392', '736920', '614769', '707240', '2139851', '683151', '1124947', '169960']",2007.0,The Pink Refrigerator,['124714'],[],[],[],[]
1439641,[],2001.0,Decks 1-2-3: Design Build Maintain Repair,['1189856'],[],[],[],[]
577859,"['170486', '6298697', '224849', '4750652', '1541557', '1062310', '159614', '13235906', '221783', '251733', '219951', '151881', '222096', '181737', '1189721', '1824317']",1996.0,Deep Change: Discovering the Leader Within,['47872'],[],[],[],[]
783971,[],2000.0,غسق الآلهة,['411872'],[],[],[],[]
506688,"['383251', '6855197', '589577', '13330935', '403918', '232596', '5985259', '18222670', '899268', '168325', '276215', '946648']",2004.0,Parallels and Paradoxes: Explorations in Music and Society,['56969'],[],[],[],[]
1411646,"['208063', '11737010', '1426241', '5202', '150354', '105778', '69719', '217207', '18828', '160653', '60935', '38461', '50680', '243991', '530773', '33363', '129228', '210783']",1989.0,Song of Solomon,['3534'],[],[],[],[]
430958,[],1994.0,A Mind of Its Own: Tourette's Syndrome: A Story and a Guide,"['5634124', '90123', '5634124']",[],[],[],[]
497400,"['453410', '31652', '452718', '39134', '1298203', '2143461', '1835341', '1273386', '84968', '6347903', '9921819', '38674', '1635042', '11651329', '1298218', '3300932', '4792488', '615237']",2000.0,The Fox and the Hound (Golden Books),['3510823'],[],[],[],[]
930387,"['841868', '2188794', '750485', '346756', '6658211', '183087', '336828', '196119', '489830', '166999', '1786472', '779303', '406084', '1087258', '552770', '478518', '451301', '332624']",,You Don't Know Me,['18738'],[],[],[],[]
95279,"['835438', '60094', '178566', '15998357', '249823', '1100630', '15717846', '2935188', '1131795', '971832', '1085672']",1999.0,"Lucia in London (Lucia, #3)",['13479797'],[],[],[],[]
95270,"['775144', '18579774', '179198', '17061941', '116824', '697979', '6354796', '13707751', '306586', '6823743', '2766047', '7927702', '255075', '658129', '130107', '9521740']",2003.0,The Chastening: Inside The Crisis That Rocked The Global Financial System And Humbled The Imf,['54836'],[],[],[],[]
291465,"['191020', '190949', '228032', '520934', '50691', '639146', '841679', '925166', '906396', '402325', '886623', '333364', '89569']",1991.0,"Encyclopedia Brown Sets The Pace (Encyclopedia Brown, #15)",['9152'],['1178971'],[],[],[]
596925,"['216655', '6505937', '671844', '12331290', '723762', '39470', '52674', '31503', '206865', '4918709', '1135335', '450934', '543477']",2006.0,The Boy Knight: A Tale of the Crusades,['106843'],[],[],[],[]
363627,[],,C Stories,['30041'],[],[],[],[]
1065938,"['1240491', '240625', '77411', '728152', '1169042', '124140', '77230', '91365', '310138', '271947', '13049091', '1369659', '910846', '904796', '640510']",1999.0,Mark as Story: An Introduction to the Narrative of a Gospel,"['368850', '529330', '529329']",[],[],[],[]
823811,"['5979374', '17262535', '392256', '9371068', '21826269', '210826', '17333450', '1659937', '11143607', '11163421', '13165325', '1698484', '271765', '218486', '13495870', '80842', '8604', '17836518']",2008.0,Unimagined: A Muslim Boy Meets the West,['204339'],[],[],[],[]
912993,"['440704', '163265', '416129', '183942', '622426', '228498', '66421', '151267', '17754814', '328594', '692689', '433187', '226713', '1959895']",1988.0,The Sexual Contract,['71767'],[],[],[],[]
144206,"['192887', '281419', '141271', '76916', '1332179', '148958']",2005.0,Un Gato en el Palomar,['123715'],[],[],[],['3907971']
144204,"['82871', '6746271', '236456', '38330', '436875', '198463', '54588', '43575', '369401', '7186097', '43555']",1989.0,"Love and Rockets, Vol. 8: Blood of Palomar","['5124', '4766238']",[],[],[],[]
128145,[],1998.0,Monkey Wrench,['73546'],[],[],[],[]
686257,[],,The Discipline of Hope: Learning from a Lifetime of Teaching,['23862'],[],[],[],[]
686256,[],,Painting Chinese: A Lifelong Teacher Gains the Wisdom of Youth,['23862'],[],[],[],[]
683150,[],2002.0,Why is Blue Dog Blue?: A Tale of Colors,"['144092', '373292']",[],[],[],[]
752934,"['494785', '143487', '1042903', '240258', '464849', '12274', '92831', '387562', '116504', '1171954', '275274', '791479', '295771', '509', '258123', '212896', '752868']",,As You Like It,['947'],[],[],[],[]
439935,[],2000.0,"Cut from the Same Cloth: American Women of Myth, Legend, and Tall Tale","['29541', '5989', '496121']",[],[],[],[]
508583,[],1985.0,E. A. T.: Eating Awareness Training,['283152'],[],[],[],[]
274304,"['31314', '37377', '18419', '773276', '58922', '826215', '232958', '5698821', '835495', '47680', '867248', '815234', '239388', '201126', '183526', '109567', '232382']",,Guess How Much I Love You,"['25838', '63392']",[],[],[],[]
1006662,[],1999.0,Baby Names Around the World,['1733'],[],[],[],[]
941224,"['2465084', '4592632', '116324', '844991', '359385', '939467', '2700389', '836601', '315736', '13559336', '1574006', '1069106', '1332111', '11631110', '1118421', '1164423', '57092']",1982.0,Northwest Smith,['5209023'],[],[],[],[]
941228,"['809796', '186182', '1535273', '715273', '952357', '3009100', '1300338', '84187', '338329']",1969.0,Jirel Of Joiry,['5209023'],[],[],[],[]
19051,"['8152607', '7260296', '12367728', '6695666', '3493057', '2791896', '6136798', '19520987', '25205426', '5014984', '11478015', '17980397', '20759686', '11257298', '16057061', '16292157', '21532247', '13538675']",2007.0,Death by Chick Lit,['11460'],[],[],[],[]
19054,"['10321', '290145', '375126', '808365', '906105', '3047771', '1261859', '588569', '1806627', '487018', '800324']",,Perfecting Kate,['11463'],[],[],[],[]
169929,[],1994.0,"The Four Dimensions of Philosophy: Metaphysical, Moral, Objective, Categorical",['22395'],[],[],[],[]
445728,[],1994.0,Fidel!: Castro's Political And Social Thought,['250593'],[],[],[],[]
2039003,"['14944563', '130879', '504119', '816950', '46624', '653088', '44462', '515318', '445748', '82180', '125480', '200579', '82227', '1155071', '89893', '4522810']",,Women On Top,['2042'],[],[],[],[]
42460,[],2001.0,"The Little Auto (Mr. Small, #1)",['5310'],[],[],[],[]
42462,[],,Texas Tomboy,['5310'],[],[],[],[]
401471,[],1988.0,Magic in Ithkar 2,[],[],[],"['4766', '7244324']",[]
42466,"['25279', '474934', '178760', '3197039', '759887', '402127', '1807609', '1036676', '841945', '611853', '1238356', '5670616', '357491', '158657', '104297', '1051818', '1297992', '438930']",1995.0,Indian Captive: The Story of Mary Jemison,['5310'],[],[],[],[]
401479,[],1991.0,Cucina Simpatica: Robust Trattoria Cooking From Al Forno,"['89612', '3912147']",[],[],[],[]
70779,[],1997.0,Why Are the Rain Forests Vanishing?,['16667'],[],[],[],[]
159297,"['1379619', '7383418', '159296', '7530588', '426490', '8499733', '217576', '654900', '355150', '6481484', '483784', '765581', '482985', '59459', '154651', '262869', '5295501', '234560']",2003.0,The Book of Eleanor: A Novel of Eleanor of Aquitaine,['73617'],[],[],[],[]
